TL Name,TL Reference,Monitored Object Name,Monitored Object Reference,Monitored Object Last Sample,Object Name Similarity %,TL Polling Frequency,Monitored Object Unit
CS_02VV7108_OAT_AV_TL,2169.421838.TL13,CS_02VV7108_OAT_AV,421838.AV17.Present_Value,2020-04-13 10:28:42,86.0,0,°C
SYSTEME_ST_BV_TL,2169.421838.TL14,SYSTEME_ST_BV,421838.BV1.Present_Value,2020-04-13 10:28:42,81.0,0,Units not found
CS_02VVTSH7108_TL,2169.421838.TL20,CS_02VVTSH7108,421838.AI103.Present_Value,2020-04-13 10:28:39,82.0,90000,%RH
CS_02VVTCO2_7108_TL,2169.421838.TL21,CS_02VVCO27108,421838.AI104.Present_Value,2020-04-13 10:28:40,37.0,90000,ppm
CS_RM7108_KeyPress,2169.421838.TL24,trend_log_input_ref not found,421838.LCD101.Key_Press,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
CS_AHU2_RM7108_MD_TL,2169.421838.TL25,CS_AHU2_RM7108_MD,421838.BI105.Present_Value,2020-04-13 10:28:39,85.0,0,Units not found
CS_02VVRRP7110_TL,2169.421839.TL1,CS_02VVRRP7110,421839.AO5.Present_Value,2020-04-13 10:29:27,82.0,90000,%
CS_02VVRRH7110_TL,2169.421839.TL2,CS_02VVRRH7110,421839.AO4.Present_Value,2020-04-13 10:29:26,82.0,90000,%
CS_02VVCDMOP7110_TL,2169.421839.TL3,trend_log_input_ref not found,421839.BO5.Present_Value,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
CS_02VVCDMCL7110_TL,2169.421839.TL4,trend_log_input_ref not found,421839.BO6.Present_Value,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
CS_02VVFSA7110_TL,2169.421839.TL5,trend_log_input_ref not found,421839.AI5.Present_Value,trend_log_input_ref not found,Monitored Object does not exist.,90000,trend_log_input_ref not found
CS_02VVTST7110_TL,2169.421839.TL6,CS_02VVTST7110,421839.AI101.Present_Value,2020-04-13 10:29:26,82.0,90000,°C
CS_02VVSOC7110_TL,2169.421839.TL7,CS_02VVSOC7110,421839.BI1.Present_Value,2020-04-13 10:29:48,82.0,0,Units not found
CS_02VV7110_RTS_SP_TL,2169.421839.TL8,CS_02VV7110_RTS_SP,421839.AV1.Present_Value,2020-04-13 10:29:29,86.0,0,°C
CS_02VV7110_FLOW_TL,2169.421839.TL9,trend_log_input_ref not found,421839.AV9.Present_Value,trend_log_input_ref not found,Monitored Object does not exist.,90000,trend_log_input_ref not found
CS_02VV7110_FLOW_SP_TL,2169.421839.TL10,trend_log_input_ref not found,421839.AV10.Present_Value,trend_log_input_ref not found,Monitored Object does not exist.,90000,trend_log_input_ref not found
CS_02VV7110_DP_SP_TL,2169.421839.TL11,trend_log_input_ref not found,421839.AV14.Present_Value,trend_log_input_ref not found,Monitored Object does not exist.,90000,trend_log_input_ref not found
CS_02VV7110_DMP_VRTL_POS_TL,2169.421839.TL12,trend_log_input_ref not found,421839.AV15.Present_Value,trend_log_input_ref not found,Monitored Object does not exist.,90000,trend_log_input_ref not found
CS_02VV7110_OAT_AV_TL,2169.421839.TL13,CS_02VV7110_OAT_AV,421839.AV17.Present_Value,2020-04-13 10:29:50,86.0,0,°C
SYSTEME_ST_BV_TL,2169.421839.TL14,SYSTEME_ST_BV,421839.BV1.Present_Value,2020-04-13 10:29:50,81.0,0,Units not found
CS_02VVTSH7110_TL,2169.421839.TL20,CS_02VVTSH7110,421839.AI103.Present_Value,2020-04-13 10:29:27,82.0,90000,%RH
CS_02VVTCO2_7110_TL,2169.421839.TL21,CS_02VVCO27110,421839.AI104.Present_Value,2020-04-13 10:29:28,37.0,90000,ppm
CS_RM7110_KeyPress,2169.421839.TL24,trend_log_input_ref not found,421839.LCD101.Key_Press,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
CS_AHU2_RM7110_MD_TL,2169.421839.TL25,CS_AHU2_RM7110_MD,421839.BI105.Present_Value,2020-04-13 10:29:49,85.0,0,Units not found
CS_02VVRRP7111_TL,2169.421840.TL1,CS_02VVRRP7111,421840.AO3.Present_Value,2020-04-13 10:30:33,82.0,90000,%
CS_02VVRRH7111_TL,2169.421840.TL2,CS_02VVRRH7111,421840.AO4.Present_Value,2020-04-13 10:30:34,82.0,90000,%
CS_02VVCDMOP7111_TL,2169.421840.TL3,CS_02VVCDMOP7111,421840.BO5.Present_Value,2020-04-13 10:31:00,84.0,0,Units not found
CS_02VVCDMCL7111_TL,2169.421840.TL4,CS_02VVCDMCL7111,421840.BO6.Present_Value,2020-04-13 10:31:00,84.0,0,Units not found
CS_02VVFSA7111_TL,2169.421840.TL5,CS_02VVFSA7111,421840.AI5.Present_Value,2020-04-13 10:30:32,82.0,90000,Pa
CS_02VVTST7111_TL,2169.421840.TL6,CS_02VVTST7111,421840.AI101.Present_Value,2020-04-13 10:30:33,82.0,90000,°C
CS_02VV7111_RTS_SP_TL,2169.421840.TL8,CS_02VV7111_RTS_SP,421840.AV1.Present_Value,2020-04-13 10:30:36,86.0,0,°C
CS_02VV7111_FLOW_TL,2169.421840.TL9,CS_02VV7111_FLOW,421840.AV9.Present_Value,2020-04-13 10:30:37,84.0,90000,L/s
CS_02VV7111_FLOW_SP_TL,2169.421840.TL10,CS_02VV7111_FLOW_SP,421840.AV10.Present_Value,2020-04-13 10:30:38,86.0,90000,L/s
CS_02VV7111_DP_SP_TL,2169.421840.TL11,CS_02VV7111_DP_SP,421840.AV14.Present_Value,2020-04-13 10:30:36,85.0,90000,Pa
CS_02VV7111_DMP_VRTL_POS_TL,2169.421840.TL12,CS_02VV7111_DMP_VRTL_POS,421840.AV15.Present_Value,2020-04-13 10:30:36,89.0,90000,%
CS_02VV7111_OAT_AV_TL,2169.421840.TL13,CS_02VV7111_OAT_AV,421840.AV17.Present_Value,2020-04-13 10:30:38,86.0,0,°C
SYSTEME_ST_BV_TL,2169.421840.TL14,SYSTEME_ST_BV,421840.BV1.Present_Value,2020-04-13 10:30:55,81.0,0,Units not found
CS_02VVTSH7111_TL,2169.421840.TL20,CS_02VVTRH7111,421840.AI103.Present_Value,2020-04-13 10:30:34,47.0,90000,%RH
CS_02VVTCO2_7111_TL,2169.421840.TL21,CS_02VVTCO2_7111,421840.AI104.Present_Value,2020-04-13 10:30:35,84.0,90000,ppm
CS_RM7111_KeyPress,2169.421840.TL24,trend_log_input_ref not found,421840.LCD101.Key_Press,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
CS_AHU2_RM7111_MD_TL,2169.421840.TL25,CS_AHU2_RM7111_MD,421840.BI105.Present_Value,2020-04-13 10:30:58,85.0,0,Units not found
CS_02VVRRP7201_TL,2169.421841.TL1,CS_02VVRRP7201,421841.AO3.Present_Value,2020-04-13 10:31:45,82.0,90000,%
CS_02VVCDMOP7201_TL,2169.421841.TL2,CS_02VVCDMOP7201,421841.BO5.Present_Value,2020-04-13 10:32:08,84.0,0,Units not found
CS_02VVCDMCL7201_TL,2169.421841.TL3,CS_02VVCDMCL7201,421841.BO6.Present_Value,2020-04-13 10:32:10,84.0,0,Units not found
CS_02VVFSA7201_TL,2169.421841.TL4,CS_02VVFSA7201,421841.AI5.Present_Value,2020-04-13 10:31:42,82.0,90000,Pa
CS_02VVTST7201_TL,2169.421841.TL5,CS_02VVTST7201,421841.AI101.Present_Value,2020-04-13 10:31:44,82.0,90000,°C
CS_02VV7201_RTS_SP_TL,2169.421841.TL7,CS_02VV7201_RTS_SP,421841.AV1.Present_Value,2020-04-13 10:31:41,86.0,0,°C
CS_02VV7201_FLOW_TL,2169.421841.TL8,CS_02VV7201_FLOW,421841.AV9.Present_Value,2020-04-13 10:31:43,84.0,90000,L/s
CS_02VV7201_FLOW_SP_TL,2169.421841.TL9,CS_02VV7201_FLOW_SP,421841.AV10.Present_Value,2020-04-13 10:31:44,86.0,90000,L/s
CS_02VV7201_DP_SP_TL,2169.421841.TL10,CS_02VV7201_DP_SP,421841.AV14.Present_Value,2020-04-13 10:31:41,85.0,90000,Pa
CS_02VV7201_DMP_VRTL_POS_TL,2169.421841.TL11,CS_02VV7201_DMP_VRTL_POS,421841.AV15.Present_Value,2020-04-13 10:31:42,89.0,90000,%
CS_02VV7201_OAT_AV_TL,2169.421841.TL12,CS_02VV7201_OAT_AV,421841.AV17.Present_Value,2020-04-13 10:31:45,86.0,0,°C
SYSTEME_ST_BV_TL,2169.421841.TL13,SYSTEME_ST_BV,421841.BV1.Present_Value,2020-04-13 10:32:02,81.0,0,Units not found
CS_02VVTSH7201_TL,2169.421841.TL20,CS_02VVTSH7201,421841.AI103.Present_Value,2020-04-13 10:31:45,82.0,90000,%RH
CS_02VVTCO2_7201_TL,2169.421841.TL21,CS_02VVTCO2_7201,421841.AI104.Present_Value,2020-04-13 10:31:46,84.0,90000,ppm
CS_RM7201_KeyPress,2169.421841.TL24,trend_log_input_ref not found,421841.LCD101.Key_Press,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
CS_AHU2_RM7201_MD_TL,2169.421841.TL25,CS_AHU2_RM7201_MD,421841.BI105.Present_Value,2020-04-13 10:32:06,85.0,0,Units not found
CS_RM7914_TF7_KWH_TL,2169.421841.TL30,CS_RM7914_TF7_KWH_AV,421841.AV34.Present_Value,2020-04-13 10:32:10,90.0,30000,kW
CS_RM7914_TF7_KW_TL,2169.421841.TL31,CS_RM7914_TF7_KW_AV,421841.AV33.Present_Value,2020-04-13 10:31:46,89.0,30000,kW
CS_03VVRRP7202_TL,2169.421842.TL1,CS_03VVRRP7202,421842.AO3.Present_Value,2020-04-13 10:32:56,82.0,90000,%
CS_03VVRRP7203_TL,2169.421842.TL2,CS_03VVRRP7203,421842.AO4.Present_Value,2020-04-13 10:32:49,82.0,90000,%
CS_03VVCDMOP7202_7203_TL,2169.421842.TL3,CS_03VVCDMOP7202,421842.BO5.Present_Value,2020-04-13 10:33:17,67.0,90000,Units not found
CS_03VVCDMCL7202_7203_TL,2169.421842.TL4,CS_03VVCDMCL7202,421842.BO6.Present_Value,2020-04-13 10:33:18,67.0,90000,Units not found
CS_03VVFSA7202_7203_TL,2169.421842.TL5,CS_03VVFSA7202,421842.AI5.Present_Value,2020-04-13 10:32:51,64.0,90000,Pa
CS_03VVTST7202_TL,2169.421842.TL6,CS_03VVTST7202,421842.AI101.Present_Value,2020-04-13 10:32:52,82.0,90000,°C
CS_03VVTST7203_TL,2169.421842.TL7,CS_03VVTST7203,421842.AI201.Present_Value,2020-04-13 10:32:56,82.0,90000,°C
CS_03VV7202_7203_RTS_SP_TL,2169.421842.TL9,CS_03VV7202_RTS_SP,421842.AV1.Present_Value,2020-04-13 10:32:51,46.0,0,°C
CS_03VV7202_7203_FLOW_TL,2169.421842.TL10,CS_03VV7202_FLOW,421842.AV9.Present_Value,2020-04-13 10:32:53,50.0,90000,L/s
CS_03VV7202_7203_FLOW_SP_TL,2169.421842.TL11,CS_03VV7202_FLOW_SP,421842.AV10.Present_Value,2020-04-13 10:32:54,44.0,90000,L/s
