,tSa,tRa,tOa,pSa,sOa,sHc,sCc,sFan,tSaSp,pSaSp
2019-01-04 11:00,17.99884987,21.30305831,3.742101669,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 12:00,17.98942471,21.31230815,3.594089985,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 13:00,18.0003252,21.32239135,3.878916701,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 14:00,17.99192524,21.37015851,3.893211722,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 15:00,18.03012514,21.52138329,4.271658341,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 16:00,17.99452496,21.4777085,4.196303328,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 17:00,17.97542524,21.4829332,3.649138371,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 18:00,17.99964952,21.46304146,3.784923315,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 19:00,18.01429987,21.38670015,3.576421698,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 20:00,17.98752546,21.34330002,3.607186635,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 21:00,17.96987486,21.33711672,3.753998319,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 22:00,17.9993248,21.49289989,3.557963371,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-04 23:00,18.00552511,21.53007507,3.439663331,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-05 0:00,17.9597249,21.56805849,2.748421629,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-05 1:00,17.9557004,21.60350831,2.039969961,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-05 2:00,18.01634979,21.54445839,2.106400033,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-05 3:00,18.00139999,21.5542415,2.282653371,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-05 4:00,18.00767517,21.55964152,2.057185014,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-05 5:00,18.03997517,21.55554167,2.284954985,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-05 6:00,17.98237514,21.57437483,2.404126644,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-05 7:00,17.95979977,21.63401683,2.453980009,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-05 8:00,17.97614956,21.61736663,2.436668317,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-05 9:00,18.0227499,21.500525,2.818178336,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-05 10:00,18.01072502,21.2999417,4.563509941,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-05 11:00,18.04517508,21.30744171,4.259518385,314.480011,69.81359863,0,0,54.74145889,18,300
2019-01-05 12:00,17.96192455,21.30928326,4.98946325,314.480011,75.16950226,0,0,54.74145889,18,300
2019-01-05 13:00,17.96952486,21.32921712,5.594178279,314.480011,75.16950226,0,0,54.74145889,18,300
2019-01-05 14:00,17.97787476,21.34329176,5.115673304,314.480011,75.16950226,0,0,54.74145889,18,300
2019-01-05 15:00,18.02614975,21.30271657,5.136190017,314.480011,75.16950226,0,0,54.74145889,18,300
2019-01-05 16:00,17.95235014,21.30928326,4.244581699,314.480011,70.16670227,0,0,54.74145889,18,300
2019-01-05 17:00,18.00500011,21.4054834,3.706085006,314.480011,70.16670227,0,0,54.74145889,18,300
2019-01-05 18:00,17.98952484,21.56234169,3.449859977,314.480011,70.16670227,0,0,54.74145889,18,300
2019-01-05 19:00,17.9798255,21.63498354,3.267813325,314.480011,70.16670227,0,0,54.74145889,18,300
2019-01-05 20:00,18.00570011,21.655533,3.020558318,314.480011,70.16670227,0,0,54.74145889,18,300
2019-01-05 21:00,18.01440001,21.60501671,2.931130012,314.480011,70.16670227,0,0,54.74145889,18,300
2019-01-05 22:00,17.9757247,21.61224174,2.970256646,314.480011,70.16670227,0,0,54.74145889,18,300
2019-01-05 23:00,18.0397501,21.62382539,2.659376661,314.480011,70.16670227,0,0,54.74145889,18,300
2019-01-06 0:00,17.96367502,21.58900865,2.221873363,314.480011,70.16670227,0,0,54.74145889,18,300
2019-01-06 1:00,18.00992537,21.58838352,2.18674167,314.480011,70.16670227,0,0,54.74145889,18,300
2019-01-06 2:00,17.95585012,21.60814985,1.935601691,314.480011,70.16670227,0,0,54.74145889,18,300
2019-01-06 3:00,18.01674986,21.62377501,1.998068372,314.480011,70.16670227,0,0,54.74145889,18,300
2019-01-06 4:00,18.01195002,21.60435851,1.83096834,314.480011,70.16670227,0,0,54.74145889,18,300
2019-01-06 5:00,17.98855019,21.59830014,1.90369,314.480011,70.16670227,0,0,54.74145889,18,300
2019-01-06 6:00,17.88920021,21.62065013,1.124303505,314.480011,65.15709686,0,0,54.74145889,18,300
2019-01-06 7:00,18.03222513,21.63510021,-0.563737161,314.480011,62.62909889,0,0,54.74145889,18,300
2019-01-06 8:00,18.14262533,21.65262492,-1.378180007,314.480011,60.12350082,0,0,54.74145889,18,300
2019-01-06 9:00,17.95235014,21.7226998,-1.655518333,314.480011,62.60333379,0,0,54.74145889,18,300
2019-01-06 10:00,17.92095041,21.6665082,-2.121046662,314.480011,61.4653135,0,0,54.74145889,18,300
2019-01-06 11:00,17.87767506,21.64791663,-2.450511694,314.480011,60.02577496,0,0,54.74145889,18,300
2019-01-06 12:00,17.99842501,21.67403316,-2.508581678,314.480011,59.99545975,0,0,54.74145889,18,300
2019-01-06 13:00,17.97494984,21.68702507,-2.929275036,314.480011,57.42105103,0,0,54.74145889,18,300
2019-01-06 14:00,17.80397463,21.75424131,-4.002261639,314.480011,52.39402485,0,0,54.74145889,18,300
2019-01-06 15:00,17.95022488,21.75121673,-4.628355026,314.480011,46.547966,0,0,59.74333191,18,300
2019-01-06 16:00,18.02742529,21.70705827,-5.674728314,314.480011,49.91839981,0,0,59.74333191,18,300
2019-01-06 17:00,17.91322517,21.7501332,-6.594286601,314.480011,54.92399979,0,0,54.74019241,18,300
2019-01-06 18:00,18.14352512,21.76729155,-7.175040007,314.480011,57.47683271,0,0,54.74019241,18,300
2019-01-06 19:00,17.87960005,21.7248834,-7.553625027,314.480011,57.45730019,0,0,54.74019241,18,300
2019-01-06 20:00,17.90747452,21.73893325,-8.425370057,314.480011,58.2878329,0,0,54.74019241,18,300
2019-01-06 21:00,18.03527498,21.78940868,-8.982863108,314.480011,57.44204903,0,0,54.74019241,18,300
2019-01-06 22:00,17.9555006,21.74192508,-9.497659842,314.480011,57.44600105,0,0,54.74019241,18,300
2019-01-06 23:00,17.99637508,21.72054195,-10.21932666,314.480011,54.94400024,0,0,54.74019241,18,300
2019-01-07 0:00,17.89514971,21.72025839,-10.66603343,314.480011,54.94400024,0,0,54.74019241,18,300
2019-01-07 1:00,18.0183754,21.73570013,-11.27236684,314.480011,59.94710159,0,0,54.74019241,18,300
2019-01-07 2:00,17.9830246,21.68325822,-11.28039996,314.480011,57.42700005,0,0,54.74019241,18,300
2019-01-07 3:00,18.06812525,21.69755824,-12.18663343,314.480011,54.87220001,0,0,54.74019241,18,300
2019-01-07 4:00,18.07272482,21.77101692,-12.56605021,314.480011,54.87220001,0,0,54.74019241,18,300
2019-01-07 5:00,18.01744986,21.75139999,-12.74316645,314.480011,57.36384964,0,0,54.74019241,18,300
2019-01-07 6:00,18.02682495,21.70486657,-13.12921667,314.480011,52.36649895,0,0,54.74019241,18,300
2019-01-07 7:00,18.0296998,21.7380085,-12.6668334,314.480011,51.57756678,0,0,54.74019241,18,300
2019-01-07 8:00,18.09782505,21.4936498,-11.97409995,314.480011,44.91590118,0,0,54.74019241,18,300
2019-01-07 9:00,17.95910025,21.49846633,-11.06026665,314.480011,39.84999847,0,0,54.74019241,18,300
2019-01-07 10:00,17.97077513,21.57067506,-9.744204839,314.480011,39.86626689,0,0,59.75088882,18,300
2019-01-07 11:00,17.98277521,21.62616666,-9.38127327,314.480011,37.35255051,0,0,59.75088882,18,300
2019-01-07 12:00,18.03687525,21.71819146,-8.810886542,314.480011,39.86289978,0,0,59.75088882,18,300
2019-01-07 13:00,18.01669979,21.68286673,-9.268354893,314.480011,39.88196691,0,0,59.75088882,18,300
2019-01-07 14:00,18.00652504,21.65950839,-8.740973314,314.480011,44.90700022,0,0,59.75088882,18,300
2019-01-07 15:00,18.06830072,21.66638327,-9.249491692,314.480011,52.44029999,0,0,59.75088882,18,300
2019-01-07 16:00,18.02657509,21.6680665,-9.289900144,314.480011,57.42664909,0,0,59.75088882,18,300
2019-01-07 17:00,18.07622528,21.65880855,-10.1212484,314.480011,57.45769882,0,0,59.75088882,18,300
2019-01-07 18:00,18.08870029,21.65921672,-10.21830988,314.480011,53.29720052,0,0,59.75088882,18,300
2019-01-07 19:00,18.03187513,21.66254171,-10.26031669,314.480011,52.4924984,0,0,59.75088882,18,300
2019-01-07 20:00,17.99677515,21.6336751,-10.59534979,314.480011,57.4951992,0,0,59.75088882,18,300
2019-01-07 21:00,18.14392519,21.5689249,-11.18210014,314.480011,52.46654892,0,0,54.72113419,18,300
2019-01-07 22:00,18.13010025,21.66491667,-11.46758334,289.1619873,62.10254059,0,0,54.72113419,18,300
2019-01-07 23:00,18.08789968,21.67728345,-11.29996665,289.1619873,65.082901,0,0,54.72113419,18,300
2019-01-08 0:00,17.84617472,21.61030849,-10.93885008,289.1619873,57.54290104,0,0,54.72113419,18,300
2019-01-08 1:00,17.92414999,21.6204586,-10.44416666,289.1619873,61.68869781,0,0,54.72113419,18,300
2019-01-08 2:00,18.03937483,21.6050086,-10.140625,289.1619873,57.42895126,0,0,54.72113419,18,300
2019-01-08 3:00,17.95292473,21.65268326,-9.628168265,289.1619873,62.4354496,0,0,54.72113419,18,300
2019-01-08 4:00,17.99979973,21.63245853,-8.276293357,289.1619873,54.91070175,0,0,54.72113419,18,300
2019-01-08 5:00,17.96410036,21.61030006,-6.966338317,289.1619873,59.91410065,0,0,54.72113419,18,300
2019-01-08 6:00,17.99127483,21.64519167,-6.089386781,289.1619873,57.42885017,0,0,54.72113419,18,300
2019-01-08 7:00,17.99352503,21.68405819,-5.323745092,289.1619873,59.94910049,0,0,54.72113419,18,300
2019-01-08 8:00,17.98634958,21.54256678,-4.786826611,289.1619873,54.91149902,0,0,54.72113419,18,300
2019-01-08 9:00,18.02169991,21.61815834,-3.809878349,289.1619873,54.91149902,0,0,54.72113419,18,300
